obs;maxO3;T9;T12;T15;Ne9;Ne12;Ne15;Vx9;Vx12;Vx15;maxO3v;vent;pluie
716;84;17,4;20,4;21,4;3;4;6;0;0,3473;-2,5981;67;Sud;Sec
717;63;15,1;20,5;20,6;8;6;6;2;-5,3623;-6,1284;84;Ouest;Pluie
718;69;15,1;15,6;15,9;8;8;8;-4,5963;-3,8302;-4,3301;63;Ouest;Pluie
719;92;16,7;19,1;19,3;7;6;4;-2,0521;-4,4995;-2,7362;69;Nord;Sec
720;88;16,9;20,3;20,7;6;6;5;-2,8191;-3,4641;-3;92;Ouest;Pluie
721;66;18;21,6;23,3;8;6;5;-3;-3,5;-3,2139;88;Sud;Sec
722;72;18,6;21,9;23,6;4;7;6;0,866;-1,9696;-1,0261;66;Ouest;Sec
723;81;18,8;22,5;23,9;6;3;2;0,5209;-1;-2;72;Nord;Sec
724;83;19;22,5;24,1;2;4;6;0;-1,0261;0,5209;81;Nord;Sec
725;149;19,9;26,9;29;3;4;3;1;-0,9397;-0,6428;83;Ouest;Sec
726;153;23,8;27,7;29,4;1;1;4;0,9397;1,5;0;149;Nord;Sec
727;159;24;28,3;26,5;2;2;7;-0,342;1,2856;-2;153;Nord;Sec
728;149;23,3;27,6;28,8;4;6;3;0,866;-1,5321;-0,1736;159;Ouest;Sec
729;160;25;29,6;31,1;0;3;5;1,5321;-0,684;2,8191;149;Sud;Sec
730;156;24,9;30,5;32,2;0;1;4;-0,5;-1,8794;-1,2856;160;Ouest;Sec
731;84;20,5;26,3;27,8;1;0;2;-1,3681;-0,6946;0;156;Nord;Sec
801;126;25,3;29,5;31,2;1;4;4;3;3,7588;5;84;Est;Sec
802;116;21,3;23,8;22,1;7;7;8;0;-2,3941;-1,3892;126;Sud;Pluie
803;77;20;18,2;23,6;5;7;6;-3,4641;-2,5981;-3,7588;116;Ouest;Pluie
804;63;18,7;20,6;20,3;6;7;7;-5;-4,924;-5,6382;77;Ouest;Pluie
805;54;18,6;18,7;17,8;8;8;8;-4,6985;-2,5;-0,8682;63;Sud;Pluie
806;65;19,2;23;22,7;8;7;7;-3,8302;-4,924;-5,6382;54;Ouest;Sec
807;72;19,9;21,6;20,4;7;7;8;-3;-4,5963;-5,1962;65;Ouest;Pluie
808;60;18,7;21,4;21,7;7;7;7;-5,6382;-6,0622;-6,8937;72;Ouest;Pluie
809;70;18,4;17,1;20,5;3;6;3;-5,9088;-3,2139;-4,4995;60;Nord;Pluie
810;77;17,1;20;20,8;4;5;4;-1,9284;-1,0261;0,5209;70;Nord;Sec
811;98;17,8;22,8;24,3;1;1;0;0;-1,5321;-1;77;Ouest;Pluie
812;111;20,9;25,2;26,7;1;5;2;-1,0261;-3;-2,2981;98;Ouest;Sec
813;75;18,8;20,5;26;8;7;1;-0,866;0;0;111;Nord;Sec
814;116;23,5;29,8;31,7;1;3;5;1,8794;1,3681;0,6946;75;Sud;Sec
815;109;20,8;23,7;26,6;8;5;4;-1,0261;-1,7101;-3,2139;116;Sud;Sec
819;67;18,8;21,1;18,9;7;7;8;-5,3623;-5,3623;-2,5;86;Ouest;Pluie
820;76;17,8;21,3;24;7;5;5;-3,0642;-2,2981;-3,9392;67;Ouest;Pluie
821;113;20,6;24,8;27;1;1;2;1,3681;0,8682;-2,2981;76;Sud;Sec
822;117;21,6;26,9;28,6;6;6;4;1,5321;1,9284;1,9284;113;Sud;Pluie
823;131;22,7;28,4;30,1;5;3;3;0,1736;-1,9696;-1,9284;117;Ouest;Sec
824;166;19,8;27,2;30,8;4;0;1;0,6428;-0,866;0,684;131;Ouest;Sec
825;159;25;33,5;35,5;1;1;1;1;0,6946;-1,7101;166;Sud;Sec
826;100;20,1;22,9;27,6;8;8;6;1,2856;-1,7321;-0,684;159;Ouest;Sec
827;114;21;26,3;26,4;7;4;5;3,0642;2,8191;1,3681;100;Est;Sec
828;112;21;24,4;26,8;1;6;3;4;4;3,7588;114;Est;Sec
829;101;16,9;17,8;20,6;7;7;7;-2;-0,5209;1,8794;112;Nord;Pluie
830;76;17,5;18,6;18,7;7;7;7;-3,4641;-4;-1,7321;101;Ouest;Sec
831;59;16,5;20,3;20,3;5;7;6;-4,3301;-5,3623;-4,5;76;Ouest;Pluie
901;78;17,7;20,2;21,5;5;5;3;0;0,5209;0;59;Nord;Pluie
902;76;17,3;22,7;24,6;4;5;6;-2,9544;-2,9544;-2;78;Ouest;Pluie
903;55;15,3;16,8;19,2;8;7;5;-1,8794;-1,8794;-2,3941;76;Ouest;Pluie
904;71;15,9;19,2;19,5;7;5;3;-6,1284;0;-1,3892;55;Nord;Pluie
905;66;16,2;18,9;19,3;2;5;6;-1,3681;-0,8682;1,7101;71;Nord;Pluie
906;59;18,3;18,3;19;7;7;7;-3,9392;-1,9284;-1,7101;66;Nord;Pluie
907;68;16,9;20,8;22,5;6;5;7;-1,5;-3,4641;-3,0642;59;Ouest;Pluie
908;63;17,3;19,8;19,4;7;8;8;-4,5963;-6,0622;-4,3301;68;Ouest;Sec
912;78;14,2;22,2;22;5;5;6;-0,866;-5;-5;62;Ouest;Sec
913;74;15,8;18,7;19,1;8;7;7;-4,5963;-6,8937;-7,5175;78;Ouest;Pluie
914;71;15,2;17,9;18,6;6;5;1;-1,0419;-1,3681;-1,0419;74;Nord;Pluie
915;69;17,1;17,7;17,5;6;7;8;-5,1962;-2,7362;-1,0419;71;Nord;Pluie
916;71;15,4;17,7;16,6;4;5;5;-3,8302;0;1,3892;69;Nord;Sec
917;60;13,7;14;15,8;4;5;4;0;3,2139;0;71;Nord;Pluie
918;42;12,7;14,3;14,9;8;7;7;-2,5;-3,2139;-2,5;60;Nord;Pluie
919;65;14,8;16,3;15,9;7;7;7;-4,3301;-6,0622;-5,1962;42;Ouest;Pluie
920;71;15,5;18;17,4;7;7;6;-3,9392;-3,0642;0;65;Ouest;Sec
921;96;11,3;19,4;20,2;3;3;3;-0,1736;3,7588;3,8302;71;Est;Pluie
922;98;15,2;19,7;20,3;2;2;2;4;5;4,3301;96;Est;Sec
923;92;14,7;17,6;18,2;1;4;6;5,1962;5,1423;3,5;98;Nord;Sec
924;76;13,3;17,7;17,7;7;7;6;-0,9397;-0,766;-0,5;92;Ouest;Pluie
925;84;13,3;17,7;17,8;3;5;6;0;-1;-1,2856;76;Sud;Sec
927;77;16,2;20,8;22,1;6;5;5;-0,6946;-2;-1,3681;71;Sud;Pluie
928;99;16,9;23;22,6;6;4;7;1,5;0,8682;0,8682;77;Sud;Sec
929;83;16,9;19,8;22,1;6;5;3;-4;-3,7588;-4;99;Ouest;Pluie
930;70;15,7;18,6;20,7;7;7;7;0;-1,0419;-4;83;Sud;Sec
931;;;;;;;;;;;;;
